Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 111.0.0.0,,,2023-04-03 17:50:14,2023-04-03 17:52:01,1m - 47.437s,PASSED
,,,,,,,
Test Cases/Login/TC_1_Sign In Successfully,Chrome 111.0.0.0,,,2023-04-03 17:50:14,2023-04-03 17:50:26,11.782s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 17:50:14,2023-04-03 17:50:14,0.011s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 17:50:14,2023-04-03 17:50:21,6.516s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Chrome 111.0.0.0,,,2023-04-03 17:50:21,2023-04-03 17:50:22,0.788s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfUsername""), gUserName)",Chrome 111.0.0.0,,,2023-04-03 17:50:22,2023-04-03 17:50:22,0.760s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfPassword""), gPassword)",Chrome 111.0.0.0,,,2023-04-03 17:50:22,2023-04-03 17:50:23,0.639s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnLogin""))",Chrome 111.0.0.0,,,2023-04-03 17:50:23,2023-04-03 17:50:25,1.899s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/lblMakeAppointment""), 30)",Chrome 111.0.0.0,,,2023-04-03 17:50:25,2023-04-03 17:50:25,0.421s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 17:50:25,2023-04-03 17:50:25,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 17:50:25,2023-04-03 17:50:26,0.640s,PASSED
,,,,,,,
"Test Cases/Login/TC_2,3_Sign In With Invalid Data",Chrome 111.0.0.0,,,2023-04-03 17:50:26,2023-04-03 17:51:08,41.808s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 17:50:26,2023-04-03 17:50:26,0.001s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 17:50:26,2023-04-03 17:51:03,37.544s,PASSED
"errorMessage = ""Login failed! Please ensure the username and password are valid.""",Chrome 111.0.0.0,,,2023-04-03 17:51:04,2023-04-03 17:51:04,0.000s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Chrome 111.0.0.0,,,2023-04-03 17:51:04,2023-04-03 17:51:04,0.709s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfUsername""), sUsername)",Chrome 111.0.0.0,,,2023-04-03 17:51:04,2023-04-03 17:51:05,0.766s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfPassword""), sPassword)",Chrome 111.0.0.0,,,2023-04-03 17:51:05,2023-04-03 17:51:06,0.647s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnLogin""))",Chrome 111.0.0.0,,,2023-04-03 17:51:06,2023-04-03 17:51:07,0.996s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txvLoginError""), errorMessage, STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-04-03 17:51:07,2023-04-03 17:51:07,0.455s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 17:51:07,2023-04-03 17:51:07,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 17:51:07,2023-04-03 17:51:08,0.613s,PASSED
,,,,,,,
"Test Cases/Login/TC_2,3_Sign In With Invalid Data",Chrome 111.0.0.0,,,2023-04-03 17:51:08,2023-04-03 17:51:19,11.343s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 17:51:08,2023-04-03 17:51:08,0.000s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 17:51:08,2023-04-03 17:51:13,4.830s,PASSED
"errorMessage = ""Login failed! Please ensure the username and password are valid.""",Chrome 111.0.0.0,,,2023-04-03 17:51:13,2023-04-03 17:51:13,0.000s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Chrome 111.0.0.0,,,2023-04-03 17:51:13,2023-04-03 17:51:15,2.873s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfUsername""), sUsername)",Chrome 111.0.0.0,,,2023-04-03 17:51:15,2023-04-03 17:51:16,0.726s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfPassword""), sPassword)",Chrome 111.0.0.0,,,2023-04-03 17:51:16,2023-04-03 17:51:17,0.631s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnLogin""))",Chrome 111.0.0.0,,,2023-04-03 17:51:17,2023-04-03 17:51:18,0.915s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txvLoginError""), errorMessage, STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-04-03 17:51:18,2023-04-03 17:51:18,0.547s,PASSED
